as_of,index_name,code
2023-06-30,hs300,002074
2023-06-30,hs300,002120
2023-06-30,hs300,002129
2023-06-30,hs300,002142
2023-06-30,hs300,002179
2023-06-30,hs300,002180
2023-06-30,hs300,002202
2023-06-30,hs300,002230
2023-06-30,hs300,002236
2023-06-30,hs300,002241
2023-06-30,hs300,002252
2023-06-30,hs300,002271
2023-06-30,hs300,002304
2023-06-30,hs300,002311
2023-06-30,hs300,002352
2023-06-30,hs300,002371
2023-06-30,hs300,002410
2023-06-30,hs300,002414
2023-06-30,hs300,002415
2023-06-30,hs300,002459
2023-06-30,hs300,002460
2023-06-30,hs300,002466
2023-06-30,hs300,002475
2023-06-30,hs300,002493
2023-06-30,hs300,002555
2023-06-30,hs300,002594
2023-06-30,hs300,002601
2023-06-30,hs300,002648
2023-06-30,hs300,002709
2023-06-30,hs300,002714
2023-06-30,hs300,002736
2023-06-30,hs300,002756
2023-06-30,hs300,002812
2023-06-30,hs300,002821
2023-06-30,hs300,002841
2023-06-30,hs300,002916
2023-06-30,hs300,002920
2023-06-30,hs300,002938
2023-06-30,hs300,003816
2023-06-30,hs300,300014
2023-06-30,hs300,300015
2023-06-30,hs300,300033
2023-06-30,hs300,300059
2023-06-30,hs300,300122
2023-06-30,hs300,300124
2023-06-30,hs300,300142
2023-06-30,hs300,300207
2023-06-30,hs300,300223
2023-06-30,hs300,300274
2023-06-30,hs300,300316
2023-06-30,hs300,300347
2023-06-30,hs300,300408
2023-06-30,hs300,300413
2023-06-30,hs300,300433
2023-06-30,hs300,300450
2023-06-30,hs300,300454
2023-06-30,hs300,300496
2023-06-30,hs300,300498
2023-06-30,hs300,300601
2023-06-30,hs300,300628
2023-06-30,hs300,300661
2023-06-30,hs300,300750
2023-06-30,hs300,300751
2023-06-30,hs300,300759
2023-06-30,hs300,300760
2023-06-30,hs300,300763
2023-06-30,hs300,300769
2023-06-30,hs300,300782
2023-06-30,hs300,300896
2023-06-30,hs300,300919
2023-06-30,hs300,300957
2023-06-30,hs300,300979
2023-06-30,hs300,300999
2023-06-30,zz500,600008
2023-06-30,zz500,600021
2023-06-30,zz500,600022
2023-06-30,zz500,600027
2023-06-30,zz500,600032
2023-06-30,zz500,600038
2023-06-30,zz500,600056
2023-06-30,zz500,600060
2023-06-30,zz500,600062
2023-06-30,zz500,600066
2023-06-30,zz500,600079
2023-06-30,zz500,600095
2023-06-30,zz500,600096
2023-06-30,zz500,600109
2023-06-30,zz500,600118
2023-06-30,zz500,600126
2023-06-30,zz500,600131
2023-06-30,zz500,600141
2023-06-30,zz500,600143
2023-06-30,zz500,600153
2023-06-30,zz500,600155
2023-06-30,zz500,600157
2023-06-30,zz500,600160
2023-06-30,zz500,600161
2023-06-30,zz500,600166
2023-06-30,zz500,600167
2023-06-30,zz500,600170
2023-06-30,zz500,600171
2023-06-30,zz500,600177
2023-06-30,zz500,600195
2023-06-30,zz500,600208
2023-06-30,zz500,600258
2023-06-30,zz500,600259
2023-06-30,zz500,600271
2023-06-30,zz500,600282
2023-06-30,zz500,600297
2023-06-30,zz500,600298
2023-06-30,zz500,600299
2023-06-30,zz500,600315
2023-06-30,zz500,600316
2023-06-30,zz500,600325
2023-06-30,zz500,600329
2023-06-30,zz500,600339
